xi,lambda_1,lambda_1_degen,T_X
0j,(-0.003757006854594166-1.6608966926785448e-13j),(-0.003757006854594166-1.6608966926785448e-13j),(266.1693307205905+0j)
(0.1+0j),(-0.016909187327352176-3.857038921108619e-13j),(-0.016909187327352176-3.857038921108619e-13j),(59.13944772392505+0j)
(0.2+0j),(-0.059782657645067114-2.0719970275080545e-14j),(-0.059782657645067114-2.0719970275080545e-14j),(16.727259031156734+0j)
(0.30000000000000004+0j),(-0.11339932719826593+2.6532550389868237j),(-0.11339932719846516-2.6532550389872327j),(8.81839447117365+0j)
(0.4+0j),(-0.11309990229579923+3.443443800007866e-12j),(-0.11309990229579923+3.443443800007866e-12j),(8.841740617817864+0j)
(0.5+0j),(-0.10478177520918286+3.818509018890625e-12j),(-0.10478177520918286+3.818509018890625e-12j),(9.543644379030926+0j)
(0.6000000000000001+0j),(-0.09668981926462124-2.2830334258882573e-12j),(-0.09668981926462124-2.2830334258882573e-12j),(10.342350493625336+0j)
(0.7000000000000001+0j),(-0.08899679888613948+2.7122531408617505e-12j),(-0.08899679888613948+2.7122531408617505e-12j),(11.23635920073235+0j)
(0.8+0j),(-0.0818361066926415-1.7541517645711924e-12j),(-0.0818361066926415-1.7541517645711924e-12j),(12.219545142290077+0j)
(0.9+0j),(-0.07529608219607256-8.308296718649529e-13j),(-0.07529608219607256-8.308296718649529e-13j),(13.280903479094427+0j)
(1+0j),(-0.069421961211167+3.6698173637119665e-14j),(-0.069421961211167+3.6698173637119665e-14j),(14.404663633143556+0j)
(1.1+0j),(-0.06422355219413875+6.082295150927047e-13j),(-0.06422355219413875+6.082295150927047e-13j),(15.57061180573041+0j)
(1.2000000000000002+0j),(-0.059685840329727194-3.4225686607230736e-13j),(-0.059685840329727194-3.4225686607230736e-13j),(16.754392574111733+0j)
(1.3+0j),(-0.05578001421285356-1.4933403381083307e-13j),(-0.05578001421285356-1.4933403381083307e-13j),(17.92756803868951+0j)
(1.4000000000000001+0j),(-0.05247332055050938+4.267632754222467e-13j),(-0.05247332055050938+4.267632754222467e-13j),(19.057303587971482+0j)
(1.5+0j),(-0.04270468196916272-2.1773636678343018e-13j),(-0.04270468196916272-2.1773636678343018e-13j),(23.416636159990734+0j)
(1.6+0j),(-0.027884832971095393+7.068956439734335e-14j),(-0.027884832971095393+7.068956439734335e-14j),(35.861789132341976+0j)
(1.7000000000000002+0j),(-0.01791590208351504-3.650592193267791e-13j),(-0.01791590208351504-3.650592193267791e-13j),(55.8163354174686+0j)
(1.8+0j),(-0.011625243143173805+1.5214252375825315e-13j),(-0.011625243143173805+1.5214252375825315e-13j),(86.01970622758004+0j)
(1.9000000000000001+0j),(-0.007686537980108214-1.083750251212987e-14j),(-0.007686537980108214-1.083750251212987e-14j),(130.09758132827463+0j)
(2+0j),(-0.004052431585627236-6.980140478722491e-14j),(-0.004052431585627236-6.980140478722491e-14j),(246.76542438043893+0j)
(2.1+0j),(-0.007657405207103237-1.6028172817234386e-13j),(-0.007657405207103237-1.6028172817234386e-13j),(130.59254054785688+0j)
(2.2+0j),(-0.010496025620942082+1.5809198785998772e-13j),(-0.010496025620942082+1.5809198785998772e-13j),(95.27415767781291+0j)
(2.3000000000000003+0j),(-0.01320764527005678+9.835472496505965e-14j),(-0.01320764527005678+9.835472496505965e-14j),(75.71372334379033+0j)
(2.4000000000000004+0j),(-0.015857250851150452+3.433795298713004e-13j),(-0.015857250851150452+3.433795298713004e-13j),(63.06263357922786+0j)
(2.5+0j),(-0.018185529677564597+6.966669249497148e-14j),(-0.018185529677564597+6.966669249497148e-14j),(54.98877501674836+0j)
(2.6+0j),(-0.019972916495500922+4.6858437709054756e-14j),(-0.019972916495500922+4.6858437709054756e-14j),(50.067800575106745+0j)
(2.7+0j),(-0.021095537405574304-5.057721672662553e-14j),(-0.021095537405574304-5.057721672662553e-14j),(47.403390621172754+0j)
(2.8000000000000003+0j),(-0.021528002963401193-2.491313740885858e-13j),(-0.021528002963401193-2.491313740885858e-13j),(46.45112701350217+0j)
(2.9000000000000004+0j),(-0.021327516817702678-9.057011705225335e-14j),(-0.021327516817702678-9.057011705225335e-14j),(46.88778391537643+0j)
(3+0j),(-0.02060940295525396-7.677046435439126e-14j),(-0.02060940295525396-7.677046435439126e-14j),(48.5215414619796+0j)
(3.1+0j),(-0.019520319097798007-4.710570345720219e-14j),(-0.019520319097798007-4.710570345720219e-14j),(51.22867075020332+0j)
(3.2+0j),(-0.018213460375225123-5.807151159153098e-14j),(-0.018213460375225123-5.807151159153098e-14j),(54.90444865492177+0j)
(3.3000000000000003+0j),(-0.016827853367330534+3.3322404753829503e-13j),(-0.016827853367330534+3.3322404753829503e-13j),(59.42528605231326+0j)
(3.4000000000000004+0j),(-0.015471411848544678-1.3289809580818627e-13j),(-0.015471411848544678-1.3289809580818627e-13j),(64.63534225508096+0j)
(3.5+0j),(-0.014204360961688329-1.0228970878134171e-13j),(-0.014204360961688329-1.0228970878134171e-13j),(70.40091438799512+0j)
(3.6+0j),(-0.013013791778556381-1.0921598203787938e-14j),(-0.013013791778556381-1.0921598203787938e-14j),(76.84155525277122+0j)
(3.7+0j),(-0.011756206618027997-1.5752046071775827e-13j),(-0.011756206618027997-1.5752046071775827e-13j),(85.06145157967133+0j)
(3.8000000000000003+0j),(-0.01003365308187536+7.296486516704897e-14j),(-0.01003365308187536+7.296486516704897e-14j),(99.6645979126371+0j)
(3.9000000000000004+0j),(-0.007282237443121959-2.404352491569201e-14j),(-0.007282237443121959-2.404352491569201e-14j),(137.32043315128314+0j)
(4+0j),(-0.004867912617506238-5.656062610744366e-15j),(-0.004867912617506238-5.656062610744366e-15j),(205.42685922581035+0j)
(4.1000000000000005+0j),(-0.00710273497563282+4.382553695166653e-14j),(-0.00710273497563282+4.382553695166653e-14j),(140.7908366890607+0j)
(4.2+0j),(-0.009821316806369693+1.368688352720664e-13j),(-0.009821316806369693+1.368688352720664e-13j),(101.81934049326685+0j)
(4.3+0j),(-0.011671913168230668+1.0468635976096099e-13j),(-0.011671913168230668+1.0468635976096099e-13j),(85.67575731473582+0j)
(4.4+0j),(-0.012903987342831064-2.7421068477168777e-13j),(-0.012903987342831064-2.7421068477168777e-13j),(77.4954262920569+0j)
(4.5+0j),(-0.01378207577650204-2.745125702299761e-13j),(-0.01378207577650204-2.745125702299761e-13j),(72.5580105795794+0j)
(4.6000000000000005+0j),(-0.014429633087906422-1.4408913315628005e-13j),(-0.014429633087906422-1.4408913315628005e-13j),(69.30183144005977+0j)
(4.7+0j),(-0.01490040202533155-4.5121157680056535e-15j),(-0.01490040202533155-4.5121157680056535e-15j),(67.11228316524225+0j)
