0j,(-0.05+1j),(-0.05-1j),(-0.1+0j),(-0.10000000000000003-4j),(-0.10000000000000003+4j),(-0.15-9j),(-0.15+9j),(-0.15000000000000002-3j),(-0.15000000000000002+3j),(-0.19999999999999998-8j),(-0.19999999999999998+8j),(-0.2+16j),(-0.2-16j),(-0.20000000000000007+0j),(-0.25+15j),(-0.25-5j),(-0.25-15j),(-0.25+5j),(-0.25000000000000006+25j)
(-1.8530466611699384e-13+8.391591757846734e-13j),(-0.05005465207752203-0.9993730916190381j),(-0.050054652077758645+0.999373091618564j),(-0.10002080591027394+3.999998969942463j),(-0.10002080591031609-3.9999989699427156j),(-0.1000937500208524+1.4851329028197513e-12j),(-0.15001301684095278-3.000623791166814j),(-0.15001301684097776+3.0006237911670164j),(-0.15002732496686605-8.999999268022417j),(-0.15002732496703874+8.999999268022066j),(-0.199979208930768-4.262760794407339e-14j),(-0.20001952567852446-8.000624414188596j),(-0.2000195256785569+8.000624414187211j),(-0.20002915023392343-15.999999347638566j),(-0.20002915023399814+15.999999347639394j),(-0.24998569434045717+5.00000029787315j),(-0.24998569434063458-5.000000297873206j),(-0.25002134840598567-15.000624584951254j),(-0.25002134840602525+15.000624584950861j),(-0.25002993288953557+24.999999376496376j)
(-7.441175493564612e-15+4.337879918826156e-13j),(-0.05021869548661418+0.9974940612786315j),(-0.050218695486652316-0.9974940612792939j),(-0.10008322420979643-4.000000176816977j),(-0.10008322421006334+4.000000176816218j),(-0.10037517537314351-6.602381536317062e-13j),(-0.1500519760207486-3.0024977212958976j),(-0.15005197602077944+3.002497721295921j),(-0.15010939096552-8.999999706882978j),(-0.15010939096556775+8.99999970688288j),(-0.1999167017605514+5.608322448938624e-13j),(-0.20007810356210573+8.002498536856718j),(-0.20007810356215358-8.002498536856837j),(-0.20011668860679402-15.999999888860913j),(-0.20011668860690174+15.99999988886147j),(-0.24994269378440262+4.999999533209727j),(-0.24994269378451334-4.999999533210168j),(-0.25008539105484723+15.002499082481057j),(-0.25008539105497707-15.002499082481378j),(-0.25011981905344005-24.999999945874237j)
(5.353218022760639e-14+1.7753520434629744e-13j),(-0.050492390897318176-0.9943679941386313j),(-0.05049239089740299+0.9943679941384416j),(-0.1001872566145523-4.00001651188976j),(-0.1001872566148336+4.000016511889529j),(-0.10084479646746208-8.669442862569242e-13j),(-0.15011660422741172+3.005629458766334j),(-0.15011660422741555-3.005629458766216j),(-0.15024647062925825-9.000009219606161j),(-0.15024647062927016+9.000009219606694j),(-0.1998120826138664-5.712639442183841e-13j),(-0.20017573619542633+8.005625005551781j),(-0.20017573619572449-8.005625005550735j),(-0.20026287735733206-16.000009118611246j),(-0.20026287735745243+16.00000911861063j),(-0.24987074841859472+4.999992729704374j),(-0.2498707484186548-4.999992729704447j),(-0.25019212015936043+15.005625719242499j),(-0.2501921201594268-15.00562571924293j),(-0.25026992024196015+25.000009027825623j)
(6.815423149898714e-14-9.928569300039266e-13j),(-0.05087616988450099-0.9900033677309984j),(-0.05087616988450852+0.9900033677307059j),(-0.10033290602017425-4.000069460720123j),(-0.10033290602024858+4.000069460719959j),(-0.10150346216674232-8.795850762391607e-13j),(-0.1502064483484374+3.010031779059858j),(-0.15020644834870311-3.010031779059915j),(-0.15043901612811936+9.000040973219273j),(-0.1504390161282438-9.000040973218525j),(-0.1996647119896859+2.6466007252646526e-13j),(-0.20031242782915903+8.010008206984036j),(-0.2003124278293294-8.010008206983589j),(-0.20046815094868475-16.000039528398588j),(-0.2004681509487382+16.000039528398514j),(-0.2497694444725188-4.999971588828501j),(-0.24976944447254734+4.999971588828167j),(-0.25034152247767527-15.010008201752976j),(-0.2503415224777352+15.010008201753443j),(-0.25048067024045206+25.000038821771838j)
(-7.069175155076491e-15+3.50031343048289e-13j),(-0.05137063056027491+0.9844120547245401j),(-0.05137063056037858-0.9844120547247021j),(-0.10052017655712182+4.0001891021469245j),(-0.10052017655740077-4.000189102146924j),(-0.10235232102430196-1.008601850004412e-12j),(-0.15032087914052383-3.0157225564513515j),(-0.15032087914055764+3.015722556450959j),(-0.1506876557793904-9.000113391144321j),(-0.15068765577941493+9.000113391144122j),(-0.1994737381204301+1.118383687685071e-12j),(-0.20048818443308392-8.01565426323927j),(-0.2004881844332936+8.015654263238313j),(-0.2007331121054393+16.00010860561045j),(-0.200733112105498-16.000108605609405j),(-0.24963820850329874-4.999924483400025j),(-0.2496382085033675+4.999924483399935j),(-0.2505335789205321-15.015651709542793j),(-0.25053357892060824+15.015651709542876j),(-0.2507526711105299-25.00010640617528j)
(3.586120228965454e-13-3.727976816393614e-13j),(-0.051976531357796237-0.9776093254757183j),(-0.05197653135780845+0.9776093254753931j),(-0.10074907366870754-4.000414104495778j),(-0.10074907366871236+4.000414104496065j),(-0.1033927787934956+8.498795640109655e-13j),(-0.15045909647704553+3.0227247512348714j),(-0.1504590964770991-3.022724751235194j),(-0.1509931891761007-9.000250141399654j),(-0.15099318917611093+9.00025014139982j),(-0.1992381428449476-7.121775730752808e-13j),(-0.20070301371438912+8.022571012497949j),(-0.2007030137146779-8.022571012496565j),(-0.20105852614326375-16.000238831388632j),(-0.2010585261435323+16.00023883139j),(-0.2494763133723089+4.999836449775964j),(-0.24947631337244758-4.999836449776122j),(-0.2507682640046923-15.02256288559657j),(-0.25076826400478547+15.022562885596095j),(-0.25108668780986076+25.000233736406905j)
(3.4700725505230796e-14+1.3125246952988996e-13j),(-0.05269478286280803-0.9696138490667343j),(-0.052694782862810374+0.9696138490670031j),(-0.10101960421471273+4.000791716655438j),(-0.10101960421506684-4.000791716655691j),(-0.10462643980569353+1.6239096785307571e-12j),(-0.1506201362875322+3.0310663913360996j),(-0.15062013628756155-3.0310663913350515j),(-0.15135658071765-9.000480119426639j),(-0.15135658071769176+9.00048011942656j),(-0.1989568041463199-8.018753844023717e-13j),(-0.20095692514021124+8.030767984305392j),(-0.20095692514035368-8.030767984305726j),(-0.20144531347347527-16.00045767590837j),(-0.2014453134735158+16.00045767590772j),(-0.24928288612278762-4.9996891798571585j),(-0.2492828861228249+4.999689179857012j),(-0.2510455451577709-15.030749824098642j),(-0.251045545157785+15.030749824098349j),(-0.2514836410722062-25.000447639985186j)
(2.002873374576295e-14+2.5345257697763967e-13j),(-0.05352643757293585+0.9604476911649885j),(-0.053526437572972485-0.96044769116509j),(-0.10133177660428512+4.001377750977172j),(-0.10133177660443556-4.001377750977052j),(-0.10605502855506904+1.6388700758451858e-12j),(-0.1508028793177308+3.040780546834695j),(-0.15080287931780992-3.0407805468343856j),(-0.15177895139452932-9.000837424079025j),(-0.1517789513946293+9.000837424078636j),(-0.19862857872151468-1.6535184751372297e-12j),(-0.20124992996747135-8.04025636942376j),(-0.2012499299676711+8.040256369424213j),(-0.20189454013745595-16.00079758954517j),(-0.20189454013748728+16.000797589544998j),(-0.24905691789912496+4.999461014442479j),(-0.24905691789915094-4.999461014442787j),(-0.25136538187864377+15.040222055535107j),(-0.2513653818786859-15.040222055534754j),(-0.2519445984113003-25.000779807701395j)
(-3.824466665802459e-14+2.522153233886007e-13j),(-0.05447267744165356-0.9501363066485419j),(-0.05447267744165576+0.9501363066489218j),(-0.10168560095712709+4.002236554303974j),(-0.10168560095733137-4.002236554304991j),(-0.10768028642415056-2.1117332272674468e-13j),(-0.15100606186928+3.05190529561461j),(-0.15100606186935206-3.0519052956148234j),(-0.15226156865706186-9.001361324954626j),(-0.15226156865706653+9.001361324954335j),(-0.19825240923703355+8.050369938479535e-13j),(-0.2015820412752513-8.051048984308986j),(-0.2015820412755214+8.051048984311086j),(-0.20240740620999428+16.001295988126824j),(-0.20240740621016864-16.001295988127428j),(-0.24879727606211754-4.999126939796533j),(-0.24879727606213264+4.99912693979705j),(-0.25172772475980887-15.050990529169336j),(-0.2517277247598577+15.050990529168999j),(-0.2524707630798153-25.001266778775328j)
(1.4057738414007348e-13-8.207315608914359e-13j),(-0.055534799053420375+0.938708524620169j),(-0.05553479905352611-0.9387085246208048j),(-0.10208108930143399+4.003440962799319j),(-0.10208108930164612-4.00344096280054j),(-0.10950383615896554+1.75741584139166e-12j),(-0.15122828868351418-3.0644836780294353j),(-0.1512282886835441+3.064483678029417j),(-0.15280583418388163+9.00209621895056j),(-0.1528058341840469-9.0020962189508j),(-0.19782746321354383-1.2304459063539238e-12j),(-0.20195327400064897+8.063160230287664j),(-0.2019532740007757-8.063160230288611j),(-0.2029852318837366-16.001995230092792j),(-0.20298523188373704+16.001995230092582j),(-0.24850271867724172-4.998658589614746j),(-0.24850271867733428+4.998658589614892j),(-0.2521325143793049+15.063067592966188j),(-0.252132514379318-15.063067592965686j),(-0.2530634608150858+25.00194991791472j)
